,FB,MSFT,TSLA,TWTR
2019-04-09,177.5800018310547,118.04399871826172,272.30999755859375,35.13999938964844
2019-04-10,177.82000732421875,118.94457244873047,276.05999755859375,34.75
2019-04-11,177.50999450683594,119.08312225341797,268.4200134277344,34.58000183105469
2019-04-12,179.10000610351562,119.69670104980469,267.70001220703125,34.369998931884766
2019-04-15,179.64999389648438,119.79566955566406,266.3800048828125,34.709999084472656
2019-04-16,178.8699951171875,119.51856231689453,273.3599853515625,34.459999084472656
2019-04-17,178.77999877929688,120.5082015991211,271.2300109863281,34.47999954223633
2019-04-18,178.27999877929688,122.09162902832031,273.260009765625,34.400001525878906
2019-04-22,181.44000244140625,122.47758483886719,262.75,34.38999938964844
2019-04-23,183.77999877929688,124.14018249511719,263.8999938964844,39.77000045776367
2019-04-24,182.5800018310547,123.71463012695312,258.6600036621094,39.290000915527344
2019-04-25,193.25999450683594,127.81172180175781,247.6300048828125,38.47999954223633
2019-04-26,191.49000549316406,128.54405212402344,235.13999938964844,38.66999816894531
2019-04-29,194.77999877929688,128.42530822753906,241.47000122070312,39.779998779296875
2019-04-30,193.39999389648438,129.24671936035156,238.69000244140625,39.90999984741211
2019-05-01,193.02999877929688,126.55488586425781,234.00999450683594,39.290000915527344
2019-05-02,192.52999877929688,124.9021987915039,244.10000610351562,39.95000076293945
2019-05-03,195.47000122070312,127.56430053710938,255.02999877929688,40.79999923706055
2019-05-06,193.8800048828125,126.82208251953125,255.33999633789062,40.22999954223633
2019-05-07,189.77000427246094,124.2193374633789,247.05999755859375,38.619998931884766
2019-05-08,189.5399932861328,124.2094497680664,244.83999633789062,38.58000183105469
2019-05-09,188.64999389648438,124.19955444335938,241.97999572753906,38.790000915527344
2019-05-10,188.33999633789062,125.81266021728516,239.52000427246094,38.45000076293945
2019-05-13,181.5399932861328,122.07183074951172,227.00999450683594,36.59000015258789
2019-05-14,180.72999572753906,123.43753814697266,232.30999755859375,36.93000030517578
2019-05-15,186.27000427246094,125.1758041381836,231.9499969482422,37.900001525878906
2019-05-16,186.99000549316406,128.06631469726562,228.3300018310547,38.29999923706055
2019-05-17,185.3000030517578,127.21208190917969,211.02999877929688,37.5
2019-05-20,182.72000122070312,125.37447357177734,205.36000061035156,37.150001525878906
2019-05-21,184.82000732421875,126.04991912841797,205.0800018310547,37.470001220703125
2019-05-22,185.32000732421875,126.81475830078125,192.72999572753906,38.58000183105469
2019-05-23,180.8699951171875,125.3347396850586,195.49000549316406,37.189998626708984
2019-05-24,181.05999755859375,125.39433288574219,190.6300048828125,37.40999984741211
2019-05-28,184.30999755859375,125.31488037109375,188.6999969482422,37.290000915527344
2019-05-29,182.19000244140625,124.10304260253906,189.86000061035156,36.849998474121094
2019-05-30,183.00999450683594,124.88775634765625,188.22000122070312,37.13999938964844
2019-05-31,177.47000122070312,122.85148620605469,185.16000366210938,36.439998626708984
2019-06-03,164.14999389648438,119.0372085571289,178.97000122070312,34.43000030517578
2019-06-04,167.5,122.33496856689453,193.60000610351562,36.099998474121094
2019-06-05,168.1699981689453,124.98709106445312,196.58999633789062,36.33000183105469
2019-06-06,168.3300018310547,126.96375274658203,205.9499969482422,36.59000015258789
2019-06-07,173.35000610351562,130.51976013183594,204.5,37.93000030517578
2019-06-10,174.82000732421875,131.71173095703125,212.8800048828125,37.63999938964844
2019-06-11,178.10000610351562,131.215087890625,217.10000610351562,37.209999084472656
2019-06-12,175.0399932861328,130.6091766357422,209.25999450683594,37.4900016784668
2019-06-13,177.47000122070312,131.43360900878906,213.91000366210938,36.34000015258789
2019-06-14,181.3300018310547,131.562744140625,214.9199981689453,36.150001525878906
2019-06-17,189.00999450683594,131.96006774902344,225.02999877929688,36.439998626708984
2019-06-18,188.47000122070312,134.25457763671875,224.74000549316406,36.650001525878906
2019-06-19,187.47999572753906,134.78102111816406,226.42999267578125,36.290000915527344
2019-06-20,189.52999877929688,136.03257751464844,219.6199951171875,35.439998626708984
2019-06-21,191.13999938964844,136.05245971679688,221.86000061035156,35.02000045776367
2019-06-24,192.60000610351562,136.85702514648438,223.63999938964844,35.58000183105469
2019-06-25,188.83999633789062,132.53616333007812,219.75999450683594,34.720001220703125
2019-06-26,187.66000366210938,133.03282165527344,219.27000427246094,35.220001220703125
2019-06-27,189.5,133.2513427734375,222.83999633789062,34.75
2019-06-28,193.0,133.0626220703125,223.4600067138672,34.900001525878906
2019-07-01,193.0,134.77110290527344,227.1699981689453,36.08000183105469
2019-07-02,195.0,135.6650848388672,224.5500030517578,36.220001220703125
2019-07-03,197.1999969482422,136.5391845703125,234.89999389648438,36.02000045776367
2019-07-05,196.39999389648438,136.141845703125,233.10000610351562,36.25
2019-07-08,195.75999450683594,136.0425262451172,230.33999633789062,36.45000076293945
2019-07-09,199.2100067138672,135.54588317871094,230.05999755859375,37.650001525878906
2019-07-10,202.72999572753906,136.9265594482422,238.9199981689453,37.470001220703125
2019-07-11,201.22999572753906,137.47286987304688,238.60000610351562,37.209999084472656
2019-07-12,204.8699951171875,137.9695281982422,245.0800018310547,37.84000015258789
2019-07-15,203.91000366210938,137.9695281982422,253.5,38.68000030517578
2019-07-16,203.83999633789062,136.16172790527344,252.3800048828125,37.9900016784668
2019-07-17,201.8000030517578,135.35716247558594,254.86000061035156,37.70000076293945
2019-07-18,200.77999877929688,135.50613403320312,253.5399932861328,37.65999984741211
2019-07-19,198.36000061035156,135.70480346679688,258.17999267578125,36.77000045776367
2019-07-22,202.32000732421875,137.50267028808594,255.67999267578125,37.58000183105469
2019-07-23,202.36000061035156,138.35690307617188,260.1700134277344,37.900001525878906
2019-07-24,204.66000366210938,139.77734375,264.8800048828125,38.72999954223633
2019-07-25,200.7100067138672,139.25088500976562,228.82000732421875,38.119998931884766
2019-07-26,199.75,140.3931884765625,228.0399932861328,41.52000045776367
2019-07-29,195.94000244140625,140.08526611328125,235.77000427246094,41.5
2019-07-30,197.0399932861328,139.40982055664062,242.25999450683594,41.0
2019-07-31,194.22999572753906,135.35716247558594,241.61000061035156,42.310001373291016
2019-08-01,192.72999572753906,137.13516235351562,233.85000610351562,42.08000183105469
2019-08-02,189.02000427246094,135.98292541503906,234.33999633789062,42.849998474121094
2019-08-05,181.72999572753906,131.32435607910156,228.32000732421875,40.369998931884766
2019-08-06,184.50999450683594,133.78773498535156,230.75,41.31999969482422
2019-08-07,185.14999389648438,134.373779296875,233.4199981689453,41.72999954223633
2019-08-08,190.16000366210938,137.9595947265625,238.3000030517578,42.06999969482422
2019-08-09,187.85000610351562,136.78750610351562,235.00999450683594,41.529998779296875
2019-08-12,185.3699951171875,134.88035583496094,229.00999450683594,40.47999954223633
2019-08-13,188.4499969482422,137.6715545654297,235.0,41.810001373291016
2019-08-14,179.7100067138672,133.525634765625,219.6199951171875,40.650001525878906
2019-08-15,182.58999633789062,133.22665405273438,215.63999938964844,40.09000015258789
2019-08-16,183.6999969482422,135.66836547851562,219.94000244140625,40.58000183105469
2019-08-19,186.1699981689453,137.9406280517578,226.8300018310547,41.70000076293945
2019-08-20,183.80999755859375,136.79452514648438,225.86000061035156,42.290000915527344
2019-08-21,183.5500030517578,138.31932067871094,220.8300018310547,42.79999923706055
2019-08-22,182.0399932861328,137.31275939941406,222.14999389648438,42.18000030517578
2019-08-23,177.75,132.93765258789062,211.39999389648438,41.0
2019-08-26,180.36000061035156,134.99066162109375,215.0,41.439998626708984
